Product Name,Sales_2022,Sales_2023
harry styles,1283376.2,1372132.57
hiking shoes men,3278036.2,3385836.92
charmander plush,2572047.5,2653844.50
flea collar for dogs,14143118,13835497.24
ginger ale,4523027.5,4201473.83
eye drops,5655105,5411796.81
house of lashes glue,1669067.8,1661254.33
fever reducer,9408078,8851402.32
cintas work pants for men,10677715,10537460.62
ice anchor,25297.8,39867.87
cv boot clamp pliers,54454.8,67534.17
cry baby wah pedal,140522,167018.06
vinyl mattress protector,73650.9,90976.72
bathtub faucet with handheld shower,91516.5,86996.64
bam bones for dogs,79897.2,91674.69
fsa baby,220802.1,246293.05
bhringraj oil,13942.4,-44835.31
beeswax taper candles,111865.1,120615.81
tape measure 50 ft,122927.6,142626.40
blackstone 36 inch griddle lid,372210.8,392767.08
thick paper,56095,75142.84
gaming stand,106333.8,72808.07
blackberry jam,212321.5,221406.27
glucosamine chondroitin gummies,265499.2,277415.42
money candle,125826.1,145068.34
breast milk bottle,114968.2,135064.70
stencil brush,151557.9,149871.37
vanilla coke,172202.4,193661.54
copper cabinet pulls,166976.8,177764.75
leather shoe laces,84468.8,41297.34
10.1 android car stereo,223367.9,238911.89
gold clothing rack,581612.8,571327.33
hand eye coordination training,305004.6,336162.25
scope cover,154343.6,157378.25
hiking hat women,226468.7,213783.40
deer feed,298095.1,296321.06
silver throw pillows,124308.4,136271.59
flatbed scanner,2002210.2,2005839.91
pink lemonade,328053.2,331247.27
solo stove cover,1048905.4,1043094.81
cotton biker shorts women,434005.8,408896.38
model ship,315246,330632.83
hair powder for men,250618.2,238652.96
2022-2023 monthly planner,241071.8,246145.62
cigarette lighter adapter,365623.9,386820.69
laptop skin,84717.5,101700.93
mood lighting,237784.9,272747.13
listening devices for spying,280383.5,328581.02
colored christmas lights,874154.8,868720.18
silicone ear plugs,1228314.6,1146960.75
100 piece puzzles for kids,863018,817839.67
blink camera mounts,731206.8,724480.28
dog probiotics for yeast infection,1853204.6,1856610.89
astm level 3 mask,2741711.5,2635605.33
dior,942401,1058706.79
iron beads for kids kit,2206646.8,2123126.71
gallon water bottle with straw,6270050.5,6211739.50
camcorder & camera lenses,12536590,12886291.98
fishing,9414044,9917944.72
samsung stove top protector,28579.1,-16791.85
tip envelopes,74583.1,85360.75
polaris oil change kit,138785.1,162147.76
aqua tech 30 to 60 filters,124334.5,144683.44
fiber tester,211587.2,226191.76
cf283a,480694.8,492104.17
usb over ethernet,264490.3,284144.58
grandpa soap,72929.1,75915.64
superhero toys for 3 year old boys,111454.7,68254.30
spicy pasta sauce,144170.5,151133.76
aquarium heater 100 gallon,120634.6,141695.10
lens pen,95953.8,115545.47
eagle statue,123679.8,114185.66
black pampas grass,70768,91652.18
talking watches for the blind,177565.8,161261.64
bee frames,243988.5,252735.91
plastic pegboard,131902.4,142623.95
vise grip clamps,209579.8,223239.77
ps4 controller 2 pack,216378.2,234647.41
wifi monitor,197920.3,224028.83
yoga mat holder,152688.6,170874.64
goniometer set,175907.2,190772.95
ramen variety pack,154553.9,157888.22
parafilm grafting tape,207395.6,222301.65
wash and cure station,854606.3,868503.84
bibigo,117389.4,125407.17
plastic shovel,254751.6,257644.67
yuca chips,388142.6,389617.27
travel nail kit,44103.6,-29107.09
all black shoes,110980.4,108843.12
tea tin,74357.7,84898.40
6 gallon trash bags,301352.8,306941.01
5x7 picture frames collage,219860.9,230742.35
keto cups,566682.8,565108.04
finch food,583246.2,571490.80
body shimmer,66063.1,43012.50
greenhouse heater,569694,589504.90
level 3 masks medical grade,417035.3,375726.63
remarkable 2 case,475401.8,471204.20
inflatable baby bathtub,315058.1,330846.16
prenatal dha,910305.3,897586.78
mineral spirits,388892.1,419956.89
yelena belova funko pop,223146.7,266870.11
sr920sw watch battery,359902.9,314535.29
medicine cups,531386,471170.37
can am maverick x3 accessories,1494590.8,1392724.47
gun safe dehumidifier,810687.2,805480.27
tomato seeds,443788.8,435107.63
100% silicone,979900.7,955734.12
coffee carafe,1185260.2,1190834.55
lisa frank,203926.5,259043.88
curls,514655,533135.99
glitter gel pens,756554.8,752204.75
toddler mittens,1510558.5,1350397.91
6tb hard drive,4513468,4515116.03
minecraft plush,842086.7,869171.81
mask bracket,833392,807446.98
mason jars 8 oz,1367708.5,1396889.49
hand wipes,2008580.4,1944068.11
22mm watch band,792629.3,754688.53
sublimation paper for dark shirts,3699607.2,3591605.71
sunflower decor,1998399.8,1997530.50
plastic hanging file folders,45454.4,64744.49
calcium pyruvate,98629.2,121677.61
dual layer dvd,92753.6,107728.24
magnetic coat hooks,49841.8,58669.60
sasparilla supplements,29202.9,54591.39
power strip individual switches,80353.6,93700.96
kombucha jar,81784.1,93153.33
utv tire repair kit,132147.2,146319.59
buff pokemon,61308.2,88110.11
table stabilizers,237706.3,252914.67
scoring board,84536,103714.22
bluetooth projector 4k,235920,241216.23
black ginger,80464.2,108210.55
keychain hardware,62230.1,57173.96
batman watch,136001.9,135846.74
amy rose plush,100652.8,126708.21
razor blade disposal container,119818.1,85668.50
parmesan romano cheese,258916.7,256609.05
ryobi router,111073.7,142293.73
foldable bed frame queen,537843.4,547251.52
deck cleaner,143698.5,160406.82
valentines day gifts for her jewelry,110276.9,73570.47
boys cup underwear with cup,369658.3,358668.24
butterfly curtains,90931.1,59506.81
outdoor carpet runner,200711.5,154741.89
boat first aid kit,654695,655953.77
graphite lubricant,191104.3,202704.99
gas struts,160381.5,182969.75
kids waterproof camera,250742.6,194680.85
miter angle finder,411181.7,438058.25
wireless bridge,461183.5,478416.34
freezer paper,414552.4,402882.53
bottle sterilizer bags,264266.8,272642.96
clear lazy susan,376806.5,379768.06
dreadlock wig,82193.1,21012.54
wood backdrop,250362.7,268335.07
fondant molds,133789.3,129186.97
crested gecko,913599.2,877638.39
colored pencils bulk,1716925.9,1682268.99
radiator cover,317684.5,364991.07
ceramic tile,331454,364653.75
reekon tape measure,101274.1,168688.16
lip balm containers,137045.9,109044.95
bloating relief for women,470544.2,500622.95
camping mug,602561.9,623097.06
salt water taffy,831593.1,855737.18
leak proof containers,2463726.5,2415800.33
chastity device men,579999.9,645125.76
dubia roaches large,88174.7,94622.41
lumber crayon holder,93755.9,102911.96
ender 3 dual z-axis upgrade kit,104534.5,126152.92
ocp,64062.1,69474.72
boys zip up hoodies size 10 12,105515.4,82112.59
cb speaker,114487.8,131643.69
flex seal white,101102.7,120596.66
traxxas slash shocks,94701.2,105919.75
celery seed extract,170605.4,182669.57
samsung a02 case,80193.1,82831.80
cake boards 14 inch round,201658.5,185270.68
sphynx cat clothes,105687.8,85438.79
sham pillows set of 2,75962.9,101146.74
planet oat milk,113166.8,127814.68
poncho towels for kids,167408.7,154434.42
eco friendly dish soap,159533.3,141119.10
3/8 fuel line,238187.1,243194.96
red kitchen towels,166026.1,148685.80
ford f150 lug nuts,136467,152279.67
gmc canyon accessories,498641.9,492071.04
rugged apple watch band 44mm,149091.5,164953.50
zippered bag,335822,348788.05
boho side table,98329.5,98378.08
vertigo relief,375615.1,381763.07
egg shakers,174112.4,181387.28
6 inch paper plates,389202.9,378086.96
latex mattress,1137460.8,1142202.10
bezels for jewelry making,128558.7,87441.44
cat chair,149348.7,149935.93
gatorade fruit punch,634990.1,620405.41
car wash sponge,385096.7,372922.88
waterless car wash,523283.2,526044.58
texas longhorns,324337,269145.70
police lights,471695.4,493154.73
ipad mini 6 screen protector,599385.2,581400.96
charades,510775.3,517230.86
tyme iron pro,475850.6,426026.50
thickener for liquids,1832069.2,1800667.46
aquarium test strips,671687.4,655765.36
sea moss capsules,742806.8,752270.16
square iphone 11 case,354368.9,334761.81
safari animals,508913,545486.58
sensory table,1510966.4,1566443.53
bandana bibs,1157229.8,1103017.63
dog bell for door potty training,2598266.5,2484354.88
jewelry making supplies,770098.2,849281.22
camping table,3331399.2,3429231.91
skin tag remover,2630933.2,2862804.92
goggles,6883807,6716057.08
car phone holder mount,17599744,17807463.27
hockey jersey frame display case,58870.6,71153.75
2006 gmc sierra tail lights,91036.6,94301.96
waterbed conditioner,119432.3,135382.43
sceptre 30 inch curved monitor,281506.2,308145.86
purina puppy wet food,75351.1,101463.95
now open banner,76256.3,88733.31
artificial boxwood,188296,186767.97
dell 45w ac adapter,121935.2,140916.25
acrylic closet organizers and storage,91884.3,101740.86
heart stress balls,87379.3,85461.66
file folders with pockets,68030.9,82594.92
poker chip case,120729,139577.12
hub puller,183799.6,195518.26
wii u gamepad battery,271726.7,267144.38
demograss,197563.1,222347.39
metal coins,56971.6,67960.35
toddler paint brushes,124521.7,134898.53
cloth bags drawstring,64162.4,77918.88
side snap onesie,110577.5,109896.97
slouchy beanie for men,170725.2,151390.84
large lint roller,265161.8,271027.63
car charger adapter multiple ports,178294.1,186506.56
sandalwood candles,196120,204373.58
soy protein powder,206847.8,226117.52
shoe sole cleaner,131148.5,152335.01
gluten free cracker,320520.2,277197.09
weight watchers scale,357154.8,377237.90
paint brush cleaner,221911.7,233641.04
p2722h,3888491,3860495.73
adult wipes for elderly,1200499.8,1158598.80
infant bike helmet,432153.6,433025.09
purge valve,316440.5,349019.32
compression shorts with cup pocket,483735.3,491134.77
grass rug,186981.9,184094.84
tummy time mirror,437657.3,436797.21
planner bookmark spiral snap in,238623,215404.32
farm birthday party supplies,331185.3,324139.96
refrigerator handle covers,370892.2,350589.98
a1c home test kit,1055682.4,1083552.05
lumbar support pillow for bed,755750.1,773077.60
cooperative games,903924.3,909664.76
bluetooth controller,903365.8,939570.29
acrylic keychain blanks,572857.8,602468.30
lululemon leggings,1458657.1,1497924.96
exacto knife,1798757,1717119.91
car dvd player,4332402,4380367.55
butterfly knife,1962777.1,2087462.19
procase ipad 10.2 case ipad 9th generation 2021,29346.5,57841.48
11x17 graph paper,35708.5,58635.63
sfx power supply 850w,72598.8,92502.27
shrink wrap handle,168819.6,175394.18
black towel racks for bathroom,66191.7,65774.19
polaris hose,132597.1,146120.00
light table manipulatives,90198,102045.35
one piece snowsuit toddler,134872.1,126889.46
fitbit inspire hr charger,92902.7,111376.22
swiftwick socks women,181108.8,191515.66
faraday fabric,196318.7,189052.48
lecithin granules,110163.4,114860.61
black yoga mat,129789.2,145901.75
black currant seed oil,181261.6,195691.90
egg chair cover,192641,200663.29
toboggan,57519,47489.90
happy mail stickers,52923.1,47115.57
macerator pump for rv,387878.7,394535.75
white acoustic panels,267178.4,278946.24
egg crate mattress topper full,336447.6,339829.52
aerial yoga stand,202771.7,221199.96
s7 fe tablet case,206678.6,199138.39
non toxic candles,89115.4,112108.49
trailer hub,190734.8,211029.14
white outdoor extension cord,277839.6,275345.12
micron gauge,556497.9,570460.40
hernia belt for women,207945.4,218272.40
bromadiolone,327319.1,335149.45
brontosaurus,195370.6,186295.64
reusable tea bags for loose tea,90900.1,104466.15
soldering iron tips,99882.4,119139.75
mr cool mini split diy,1282335.9,1294603.68
2 gang screwless wall plate,393872,396347.06
strawberry decor,85410.7,121951.56
pennant banner,126671.9,119986.74
steph curry,240177.4,251324.62
fly paper,346017.4,339487.68
cute purses for teen girls,185393.9,138145.08
minoxidil foam,629605.6,607875.98
non toxic resin,1131560.9,1140025.51
antacid liquid,671373.8,634594.54
vaccine card case,262472.2,263675.76
mustache kit,69544.5,13700.30
tanning bed,393537.1,366693.74
fish tank bubbler,384042.8,375513.91
dash kit,609294.4,643740.74
natural laundry detergent,1502732.2,1459004.31
shop vac accessories,512803.3,546948.18
revolution dance tights,1454598.1,1316264.09
quickvue at home covid test,19681898,19306448.97
canon mx922 ink cartridges,3485175.2,3460619.57
one shot keto,1398258.9,1467384.43
bowling ball,951050.9,1037222.13
running boards,3484328.8,3486068.57
ryobi 18v battery,3499233.8,3542735.15
hair wrap,1598055.4,1742783.25
pool float funny,17149426,17316639.38
pool floats,17149426,17316639.38
baby registry search,589558,3488276.76
security polo shirts for men,89875.8,104099.69
marine speaker wire,93936.4,113382.82
allergen mattress protector queen,110774.4,137816.63
lagun table mount,30838.9,-38156.07
disposable bibs for adults,88510.9,84250.66
organic cheese powder,75279.4,92086.89
pulled chicken,63654.4,74406.71
chandelier cleaner drip dry spray,187616.4,209097.97
ice fishing bibs,157054,158914.17
heel tips,68722.2,83111.42
call of duty party supplies,70588.9,58457.02
e3d,105831.5,124590.16
jasmine perfume,52174.4,32008.51
jersey sheets full,224343,226495.37
honda shirt,104799.2,63290.57
laundry bleach for whites,235592.4,245662.56
family birthday calendar with tags,182536.9,173734.01
zelda switch controller,169055.2,196240.79
granite repair kit,139355.3,135996.65
kids stethoscope,223131,235680.05
samsung a11 screen protector,208088.9,213424.91
pink fuzzy slippers,151189.5,112784.21
cream pillows,92673.2,81006.69
messi jersey kids,155112,130693.64
kids bedding sets for boys,145102.3,119088.79
dehumidifier and air purifier combo,744253.1,763490.13
freezer containers,210699,206469.83
portable cart,393195.8,407014.71
purina cat chow complete,416432.2,431644.38
spade connector,244646.9,256523.50
rectangular patio umbrella,1077754.4,1061882.82
wood panel,263567,260024.87
white extension cord,551584.2,536195.56
luggage wheels replacement,152670.7,165528.45
rain hat,249256,232137.26
soft wave brush,256563.6,223917.09
appliance cord organizer,214428.2,237249.48
bartholin cyst treatment,235607.2,275967.70
baby face cream,377141.9,385972.32
rum,208036.5,248498.00
dab tool,295670.6,308293.95
samsung galaxy s21 fe case,882109.9,812092.22
enameled cast iron skillet,552251.4,582021.94
prisoner costume,266479.5,290662.07
butchers twine,544434.4,523198.59
doodle dazzles shimmer marker set,451531.7,453699.10
japanese rice,1624598.8,1588523.72
vision board,448343,476287.67
basketball net,1031133.9,1002942.64
moana toys,1110855.6,1112736.48
300 piece puzzles for adults large piece,1933946,1695210.67
otterbox defender iphone 11,2692010.8,2592317.87
bearded dragon accessories,3427181.2,3428890.43
smoked salmon,3558269.5,3349747.43
standing desk converter,7857322,7894914.43
beats pill,73606190,73385337.70
pop socket for samsung galaxy s21,11310906,11638648.13
pop socket for iphone,11310906,11638648.13
m95c,53118.2,51610.43
dump trailer tarp kit,164740.2,176771.42
gold cabinet hinges,61847,75158.90
bone meal for dogs,99884,113376.07
tortuga backpack,99863,122042.15
egg sitter,76337.9,71708.09
moss b ware,125120.3,142125.10
coin cleaner,79394.8,98636.40
gluten free teriyaki sauce,93914,110349.27
headlight switch,77754.6,30775.52
colored popsicle sticks,107191.8,118172.14
chicken manure,140224.6,161213.80
kelp powder,114870.5,134283.48
bnr17,262805.9,280156.96
employees only sign,204234.4,201931.73
slippery elm powder,205427.7,219347.18
beyblade achilles,93598.8,118355.25
keto pizza sauce,206247.2,218520.36
broadhead target,327151.4,344842.33
sonic pajamas,152397.9,156524.32
nezuko backpack,88403.6,70595.04
magnetic cubes,117763.8,134756.84
chili no beans,333483.1,317211.81
bioshock,159252,188491.73
ab mat,283852.2,297721.88
long cat plush,188762.9,192725.99
camping candles,301992.6,318153.19
amber led lights,129847.5,145123.65
hose guide,352085.5,357319.89
flea and tick for small dogs,487546.5,485003.90
wifi water valve,419903.4,439177.16
rotisserie kit,507325,528881.74
black fabric,290706.5,303496.06
ride on train,374648.2,404225.42
dinosaur puzzle,331713.2,326940.96
collapsible water container,1512612.2,1512786.36
lip gloss kit,66644.9,37499.24
brushless motor,148783.8,143497.23
nintendo ds charger,174161.7,197655.93
insulated gallon water bottle,505859.3,496449.08
pool decorations outdoor,376880,353748.71
undermount drawer slides,556191.5,569228.84
bruise cream,639279.6,623271.26
rubber backed rugs,426113.7,362511.48
desktop whiteboard,534743.7,562853.54
best sellers on amazon,172004.7,202697.42
water doodle mat,514657.2,517231.75
dog floats for pool,812308.5,831394.16
mandalorian blaster,548857.1,581630.20
deep wave lace front wigs human hair,311714.8,286337.61
carb balance tortilla,1025142.8,959136.13
cloth diaper inserts,1878934.5,1831365.45
tracing paper,858780.2,822267.40
outdoor kitchen,3593700,3625079.65
cute notebook,337246.6,351792.21
drop cloth,1804084.6,1765354.66
bird feeder pole,1372934.2,1383171.42
wristlet,775447.1,767494.63
truffle sauce,3246597.5,3212791.68
ipod case,1371730.4,1322979.26
swim cap,2840649.5,2698412.06
power wheels,7960119,8148431.74
oral b electric toothbrush,26659818,26289751.52
bluetooth headset,9167292,9449078.73
vr headset,20578604,20841307.18
galaxy projector,9619966,9753966.73
dog crate,25182548,25238765.54
superior source b12,79133.9,102433.27
quickbooks check envelopes self seal,138960.6,158171.25
blistex medicated lip ointment,73216.2,82621.84
8/2 wire with ground,55779.1,73772.30
punch and chisel set,107785,129543.12
velvet yarn,38178,22765.53
webcam 1000,212228.6,236072.25
20 ft power strip,321539.5,332603.91
cosmetic sponges,52024.3,23714.93
heart picture frame,53835.7,48885.72
friends puzzle,124430,147694.20
solo loop,71294.9,56713.65
pink rice cooker,117283.9,134626.29
film developing kit,147158.7,174038.82
tarte maracuja juicy lip,122949,125179.64
piano cover,211914.8,218832.71
drive shaft,257003.3,123371.05
mattress disposal bag,184368.8,195426.42
dyna glo grill replacement parts,209886,222363.01
tik tok shower head,120921.2,146641.15
usb tester,165591.3,178526.22
orchard grass hay,382723.1,380428.59
toddler wetsuit,444288,403635.33
gender reveal plates,221196.4,190286.00
linen fabric,87467.4,104019.01
star decorations,97797.5,108529.97
bearded dragon food,386523.2,372840.00
6g plugs,129271.1,70874.71
bbq prep tub,155275.6,178932.23
bow stabilizer,241483.6,249199.65
square pop it,301602,287429.74
custom license plate frame,244150.5,256776.45
fish dog food,1044446.5,1036359.05
minecraft mystery boxes,265281.5,284448.67
bus bar,313832.2,315906.79
spiderman toddler,378187,347194.33
clear macbook air 13 inch case,292921,300137.10
boys soccer shorts,693989.2,648592.83
nac supplements,306969.9,356304.65
orange jumpsuit,184161.6,206120.54
concealer brush,198252.6,199285.23
speed square,405090.6,421418.59
baby sweatshirt,327290.5,277303.03
lipo battery charger,891038.1,913108.30
mets,416040.9,439742.28
cat 5 cable,1499326.1,1460796.35
pc stand,1289568.9,1304667.64
gifts for 12 year old boy,2280710.2,2271474.52
iphone 13 pro max case wallet,2618106.2,2464508.66
patio rocking chairs set of 2,6173263.5,6146097.92
paper clips,3047334.5,2801421.19
wine fridge,9192297,9281925.57
yoga pants for women,4583321,4374330.93
baby hangers,6534176,6296047.27
baby jumper,6993271.5,7070304.97
sofa scram,70100,90536.53
tidal 75,38915.9,68952.24
red kn95 face mask,53155.8,55436.68
wasp trap refill,260636.9,273163.34
iphone 11 pro screen replacement,108742.5,124121.06
oil rubbed bronze vanity light,195423.2,164945.87
compostable coffee cups,141339.3,131119.96
mr and mrs luggage tags,73550.8,87245.11
rca to 1/8 stereo cable,63921.5,83281.70
pj mask toddler bedding set,85874.3,106098.29
pink tennis balls,135727.6,154196.19
leather burnisher,169646.8,181897.17
husqvarna chainsaw parts,122413.9,141510.48
tillman welding gloves,142683,153348.64
white leotard women,82057.9,64660.41
f150 fender flares,214379.4,219620.93
gucci eyeglasses for women,208290.6,209281.20
cat doormat,93163.2,79073.56
locking earring backs for studs,125080.4,136169.77
rose gold cake topper,58187.7,53226.12
lemon kitchen mat,76711.5,23566.37
honda hrv accessories,156217.6,133061.22
frappe mix,104997.7,111381.17
modern mailbox,269547.9,254589.34
boat paddle,235521.6,254587.01
afghan loom,104520.3,133223.26
rv propane hose,216032.9,226430.11
balsa wood airplane kits,331038.3,325186.42
map gas,214707.7,223687.09
tennis towel,318045.9,333633.64
octane booster,574151.9,575890.83
beef bouillon,351852.1,345698.61
edge protector,175609.4,158444.37
turkish,210924.9,214637.55
pet carriers for medium dogs 25 lbs,501170.9,524955.47
skimmer socks,376896.7,372253.08
fish mask,140021,102192.42
surge protector wall mount,502236,489157.06
insect repellent wipes,564289.2,542262.17
nintendo switch ac adapter,315855.9,339535.30
light up drawing board for kids,462296.4,475861.10
usb c webcam,1044981.9,1066250.51
paw patrol crafts,602074.8,591497.34
charcuterie meat,838515.4,774086.00
honda key fob cover,278528.3,291309.23
tick remover,467341.1,453106.68
chocolate covered espresso beans,758508.1,769640.36
split king sheets sets for adjustable bed,2330867,2259808.81
pmags 5.56 magazines,152768.9,211340.87
type c charging block,1052473,1045017.53
horizon treadmill,10667122,10568898.47
bacon press,783351.1,807027.03
car registration and insurance holder,539662,483312.26
glutamine,3465720,3400447.21
balance bike,4294356.5,4344131.40
allergy medication,4278526.5,4160559.01
honda oil filter,1255696.5,1290526.81
slime,3966694,4161396.39
laptop,211114030,210985100.70
sparkly rose,21932.4,46016.39
plus size ski pants,50256.6,65107.01
green resistance bands,88960.1,103488.21
35 inch blinds,80307.6,86509.28
strap winder,51635.5,73904.53
liposomal vitamin c liquid,197821.9,211591.59
baby blues postpartum hair vitamins,15770.6,-37330.13
basketball scorebook,153733.1,164252.66
dog chase toy,187573.7,213597.82
earbuds for samsung galaxy s21,186863.5,189630.13
mule tape,201637.2,212890.81
swivel sweeper,299731.6,317834.72
now magnesium citrate,198716.6,211250.21
kaco pens,69065.4,86186.66
moto g stylus 2021 screen protector,123865.5,137064.48
medical shoes for women,100383.5,83334.98
recliner cushions for elderly,142791.6,145927.07
m4 screws,78995,99736.94
arrow fletchings,133151.6,140580.06
artesano bread,149824.1,153911.50
traxxas slash 4x4 upgrades,118850,79300.24
pochita plush,115785.1,143424.46
wax ear plugs,233747.9,246699.06
soft baseballs for kids,281463.1,293353.37
white noise for babies,91133.4,57184.53
trundle bed frame,419684.3,419340.52
sock yarn,155294.9,129537.52
star string lights,130690.9,150578.11
hat light,137503,139819.78
wooden balls,98082.9,109806.82
motocross pants,299310.3,279648.12
oil rubbed bronze door knob,871404.7,852038.43
radio holster,178823.8,194875.80
hair strengthening shampoo and conditioner,233414.3,231117.53
french country decor,304212.4,228761.68
flexible lighter,187626.1,204242.53
toddler soccer ball,319000.8,308103.08
disco eye stick,47682.3,30893.12
learning to read for kids ages 5-7,354266.1,362835.13
easter bags,257187.4,177177.06
braun coffee grinder,580508.8,602396.48
xt2 security camera outdoor wireless wifi,743674.7,736822.34
high pressure hose nozzle,285505,295347.68
propane tank cover,832154.1,851954.76
guava,367229.4,378836.23
unicorn doll,448744.9,465038.43
nerf party supplies,723730,694374.55
baseball bases,2198877.8,2181172.05
moisturizing gloves,121120.9,78053.17
toddler watches for boys ages 3,837218.8,825866.13
pokemon backpack,557784.6,547023.05
christian wall art,421106.8,398186.53
black seed oil capsules,1114034.9,1089812.13
trivia games,699902.3,734092.15
insulin syringe,1358228.6,1331445.08
coconut,593911.9,597747.83
fiber packets,3375253.2,3288139.63
chilli sauces,1799723.8,1720989.62
zinus,7911500.5,7886676.17
5 gallon bucket,1841586.8,1966969.51
shoe cleaner,3127336.8,3133574.50
self defense keychain,4036854.2,4196076.14
patio heater,13071308,13140262.65
adidas terrex swift r3 gtx,61297.7,91320.67
green folders with pockets,54391.6,74114.61
250gb nvme,83633.7,104642.47
platform tennis balls,132209.4,151474.82
hand casting kit family size,86211.2,109444.66
reduced glutathione,160868.8,184590.65
chamberlain wall control,307551.2,318993.38
hydrogen peroxide gallon,126620.8,147431.66
60th anniversary gifts,178181,173830.75
pop socket vent car mount,96830.6,114816.70
hypnotic poison perfume,121893.2,130712.52
shop vac bags 5-8 gallon,127615.2,116647.36
crispy jalapeos,123929.4,149810.76
ruler 18 inch,100747.5,113262.36
pool water bags,558550.9,561734.50
facial bed,204793.3,150122.44
winch hook,198220.4,207992.33
moong dal,141031.2,158464.64
star wars toothbrush,91580.6,74132.06
lanyard wallet for men,67592.3,85160.77
quinoa pasta,388708.5,382690.38
shed windows,141032.7,152588.63
seamless high waisted leggings for women,108233,48519.99
black paper roll,251612.4,267128.97
cbs for dogs joint pain,124811.3,117373.27
ps vita memory card,313188.4,336905.15
brake line flaring tool,803661.6,807604.44
crown amplifier,327268.2,343297.96
43 inch monitor,744133.8,766595.96
philips norelco charger cord,83697,53188.34
surveillance hard drive,2272726.8,2258128.24
embossing powder,157833.8,159432.71
ulu knife,386733.2,397101.71
candle pouring pot,236376.5,240043.15
tassel shower curtain,93875.3,79173.37
get well cards,280848.6,262688.56
banana peppers,404397.6,388903.59
wallpaper paste,350137.4,358751.28
hop water,1322411.2,1290797.47
s20 ultra screen protector,665766.2,638382.01
pill bags,463628.5,466294.84
crayon box,197080.7,211979.69
orchid fertilizer,691037.5,675709.65
throttle body,743314,721778.71
matte black silverware set,718823.1,734726.14
dog gates for outside,1417139.2,1382206.40
office chair back support,1911138.8,1926483.73
astaxanthin,2094103.9,2045551.27
cookbook stand,1088134.8,1105556.17
euro pillow covers,1745906.6,1658911.79
nail gun,1960713,2052153.12
headbands for men,1424716.6,1384683.31
paper bags,4938129,4879728.20
plastic plates,4776251.5,4855183.93
nissan pathfinder floor mats,60261.3,81623.24
snowboard base cleaner,46548.4,68133.54
benehal niosh n95 mask,64346.1,60506.25
